event_datetime,event_params__ga_session_id,event_name,event_params__ad_id,event_params__ad_unit_id,event_params__ad_network,event_params__ad_placement,event_params__ad_reward_type,event_params__ad_instance,event_params__ad_error_code,event_params__character_name,event_params__current_tier,event_params__current_question_index,question_address,ts_weekday,ts_daytime_named,app_info__version,geo__country,device__operating_system,event_server_delay_seconds
2025-12-10 09:58:57+00:00,10531.0,Ad Rewarded,3676eb1bf91b,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,3.0,9.0,Cyra - T: 3 - Q: 9,Çarşamba,Sabah,1.0.7,United States,IOS,
2025-12-21 18:54:06+00:00,10532.0,Ad Load Failed,,,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,1,,,,,Pazar,Akşam,1.0.7,United States,IOS,0.09257496392828313
2025-12-22 17:12:42+00:00,10304.0,Ad Rewarded,e90090827213,None,unity,Unknown/Missing,Unknown/Missing,instance_b,,Astra,2.0,7.0,Astra - T: 2 - Q: 7,Pazartesi,Öğle,1.0.7,Türkiye,ANDROID,
2025-12-23 08:51:06+00:00,10305.0,Ad Load Failed,,,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,1,,,,,Salı,Sabah,1.0.6,Türkiye,ANDROID,1.982041025014645
2025-12-18 04:22:33+00:00,10130.0,Ad Rewarded,f4bbd534fd42,rewarded_1,admob,Unknown/Missing,Unknown/Missing,None,,Dax,1.0,4.0,Dax - T: 1 - Q: 4,Perşembe,Gece,1.0.7,United States,ANDROID,
2025-12-18 04:24:02+00:00,10130.0,Ad Rewarded,0f9b661571e7,rewarded_1,admob,Unknown/Missing,Unknown/Missing,instance_b,,Astra,2.0,10.0,Astra - T: 2 - Q: 10,Perşembe,Gece,1.0.7,United States,ANDROID,
2025-12-18 04:26:09+00:00,10130.0,Ad Rewarded,78fb45be9533,None,None,Unknown/Missing,Unknown/Missing,instance_a,,Astra,2.0,11.0,Astra - T: 2 - Q: 11,Perşembe,Gece,1.0.6,United States,ANDROID,
2025-12-20 20:42:59+00:00,10475.0,Ad Rewarded,cca11a5f5e00,None,None,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,2.0,9.0,Cyra - T: 2 - Q: 9,Cumartesi,Akşam,1.0.6,United States,IOS,
2025-12-20 20:44:06+00:00,10475.0,Ad Rewarded,5a3dee6e3418,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,None,,Cyra,2.0,5.0,Cyra - T: 2 - Q: 5,Cumartesi,Akşam,1.0.5,United States,IOS,
2025-12-20 20:51:13+00:00,10475.0,Ad Rewarded,198b3a2e7851,rewarded_1,None,Unknown/Missing,Unknown/Missing,None,,Cyra,3.0,12.0,Cyra - T: 3 - Q: 12,Cumartesi,Akşam,1.0.7,United States,IOS,
2025-12-22 15:38:14+00:00,10329.0,Ad Rewarded,664e53c96a6b,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,4.0,1.0,Cyra - T: 4 - Q: 1,Pazartesi,Öğle,1.0.5,Türkiye,ANDROID,
2025-12-06 09:36:08+00:00,10489.0,Ad Rewarded,50a009aaeda2,None,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Dax,1.0,7.0,Dax - T: 1 - Q: 7,Cumartesi,Sabah,1.0.6,United States,IOS,
2025-12-10 16:28:03+00:00,10490.0,Ad Rewarded,4d622e947972,None,unity,Unknown/Missing,Unknown/Missing,None,,Astra,3.0,2.0,Astra - T: 3 - Q: 2,Çarşamba,Öğle,1.0.5,United States,IOS,
2025-12-12 04:44:02+00:00,10492.0,Ad Rewarded,57e31fbb7708,rewarded_1,admob,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,4.0,11.0,Cyra - T: 4 - Q: 11,Cuma,Gece,1.0.6,United States,IOS,
2025-12-21 22:09:40+00:00,10163.0,Ad Rewarded,268d5df1e38c,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,None,,Dax,3.0,8.0,Dax - T: 3 - Q: 8,Pazar,Akşam,1.0.5,Türkiye,IOS,
2025-12-22 12:25:00+00:00,10161.0,Ad Rewarded,5c0b4e2d7276,None,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Dax,3.0,2.0,Dax - T: 3 - Q: 2,Pazartesi,Öğle,1.0.7,Türkiye,IOS,
2025-12-23 09:00:16+00:00,10162.0,Ad Rewarded,13d0e0cf03e2,rewarded_1,admob,Unknown/Missing,Unknown/Missing,instance_b,,Dax,1.0,10.0,Dax - T: 1 - Q: 10,Salı,Sabah,1.0.5,Türkiye,IOS,
2025-12-23 09:00:28+00:00,10162.0,Ad Rewarded,6d9a1bd3c601,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Dax,1.0,4.0,Dax - T: 1 - Q: 4,Salı,Sabah,1.0.5,Türkiye,IOS,
2025-12-22 00:37:13+00:00,10238.0,Ad Rewarded,770a310c8fab,rewarded_2,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,4.0,1.0,Cyra - T: 4 - Q: 1,Pazartesi,Gece,1.0.6,United States,ANDROID,
2025-12-22 06:13:40+00:00,10344.0,Ad Rewarded,ffede90e491a,None,admob,Unknown/Missing,Unknown/Missing,None,,Dax,2.0,5.0,Dax - T: 2 - Q: 5,Pazartesi,Sabah,1.0.7,Türkiye,IOS,
2025-12-23 08:04:54+00:00,10295.0,Ad Rewarded,694cadb78a13,None,admob,Unknown/Missing,Unknown/Missing,None,,Astra,2.0,8.0,Astra - T: 2 - Q: 8,Salı,Sabah,1.0.5,Türkiye,ANDROID,
2025-12-23 18:31:19+00:00,10294.0,Ad Rewarded,ce9f0843de27,None,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Borin,3.0,7.0,Borin - T: 3 - Q: 7,Salı,Akşam,1.0.5,Türkiye,ANDROID,
2025-12-23 18:36:27+00:00,10294.0,Ad Rewarded,b468b8d20e77,rewarded_2,admob,Unknown/Missing,Unknown/Missing,None,,Astra,1.0,3.0,Astra - T: 1 - Q: 3,Salı,Akşam,1.0.6,Türkiye,ANDROID,
2025-12-23 02:19:33+00:00,10324.0,Ad Rewarded,592e37fc7823,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_a,,Astra,4.0,7.0,Astra - T: 4 - Q: 7,Salı,Gece,1.0.5,United States,IOS,
2025-12-23 02:19:35+00:00,10324.0,Ad Rewarded,8f13ce1acb2d,None,None,Unknown/Missing,Unknown/Missing,None,,Dax,4.0,12.0,Dax - T: 4 - Q: 12,Salı,Gece,1.0.7,United States,IOS,
2025-12-23 17:07:27+00:00,10325.0,Ad Rewarded,5e447bb4755f,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Borin,2.0,5.0,Borin - T: 2 - Q: 5,Salı,Öğle,1.0.7,United States,IOS,
2025-12-23 17:08:50+00:00,10325.0,Ad Rewarded,cd2f117f709c,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_b,,Dax,2.0,7.0,Dax - T: 2 - Q: 7,Salı,Öğle,1.0.5,United States,IOS,
2025-12-17 14:12:12+00:00,10265.0,Ad Rewarded,d343d5471449,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Borin,3.0,12.0,Borin - T: 3 - Q: 12,Çarşamba,Öğle,1.0.5,Türkiye,ANDROID,
2025-12-17 19:28:11+00:00,10264.0,Ad Rewarded,b4d0cadf6a6d,rewarded_2,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,1.0,9.0,Cyra - T: 1 - Q: 9,Çarşamba,Akşam,1.0.7,Türkiye,ANDROID,
2025-12-17 19:28:57+00:00,10264.0,Ad Rewarded,2213c21892d1,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_a,,Astra,4.0,5.0,Astra - T: 4 - Q: 5,Çarşamba,Akşam,1.0.6,Türkiye,ANDROID,
2025-12-18 07:14:46+00:00,10266.0,Ad Rewarded,69e108a21602,None,ironSource,Unknown/Missing,Unknown/Missing,None,,Cyra,2.0,11.0,Cyra - T: 2 - Q: 11,Perşembe,Sabah,1.0.7,Türkiye,ANDROID,
2025-12-12 22:28:12+00:00,10018.0,Ad Rewarded,e095abb00f18,rewarded_1,unity,Unknown/Missing,Unknown/Missing,None,,Dax,4.0,4.0,Dax - T: 4 - Q: 4,Cuma,Akşam,1.0.7,United States,ANDROID,
2025-12-23 19:04:55+00:00,10020.0,Ad Rewarded,1641eacea501,None,unity,Unknown/Missing,Unknown/Missing,instance_a,,Dax,3.0,1.0,Dax - T: 3 - Q: 1,Salı,Akşam,1.0.5,United States,ANDROID,
2025-12-20 11:52:11+00:00,10547.0,Ad Rewarded,4ad45e516285,None,unity,Unknown/Missing,Unknown/Missing,instance_a,,Dax,1.0,7.0,Dax - T: 1 - Q: 7,Cumartesi,Sabah,1.0.6,United States,IOS,
2025-12-19 08:10:06+00:00,10211.0,Ad Load Failed,,,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,1,,,,,Cuma,Sabah,1.0.5,Türkiye,IOS,0.1376757026751756
2025-12-21 12:39:32+00:00,10209.0,Ad Rewarded,57e82e60fdaa,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_b,,Astra,3.0,11.0,Astra - T: 3 - Q: 11,Pazar,Öğle,1.0.5,Türkiye,IOS,
2025-12-21 12:40:22+00:00,10209.0,Ad Rewarded,1a2c128ca8f5,rewarded_2,unity,Unknown/Missing,Unknown/Missing,instance_a,,Borin,2.0,5.0,Borin - T: 2 - Q: 5,Pazar,Öğle,1.0.5,Türkiye,IOS,
2025-12-21 22:02:08+00:00,10140.0,Ad Rewarded,d96b48f3fb1d,None,admob,Unknown/Missing,Unknown/Missing,None,,Cyra,1.0,9.0,Cyra - T: 1 - Q: 9,Pazar,Akşam,1.0.6,United States,IOS,
2025-12-23 09:20:22+00:00,10139.0,Ad Rewarded,72f1a4d2524d,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,3.0,3.0,Cyra - T: 3 - Q: 3,Salı,Sabah,1.0.7,United States,IOS,
2025-12-23 11:59:58+00:00,10137.0,Ad Rewarded,defd937f32be,rewarded_2,unity,Unknown/Missing,Unknown/Missing,None,,Cyra,2.0,8.0,Cyra - T: 2 - Q: 8,Salı,Sabah,1.0.6,United States,IOS,
2025-12-16 02:22:57+00:00,10146.0,Ad Rewarded,032144821d64,rewarded_1,admob,Unknown/Missing,Unknown/Missing,instance_b,,Borin,2.0,6.0,Borin - T: 2 - Q: 6,Salı,Gece,1.0.6,Türkiye,ANDROID,
2025-12-19 13:26:01+00:00,10442.0,Ad Rewarded,610ec41c9320,rewarded_2,admob,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,1.0,12.0,Cyra - T: 1 - Q: 12,Cuma,Öğle,1.0.5,United States,IOS,
2025-12-19 13:26:52+00:00,10442.0,Ad Rewarded,966183d8bb74,None,unity,Unknown/Missing,Unknown/Missing,instance_a,,Dax,1.0,11.0,Dax - T: 1 - Q: 11,Cuma,Öğle,1.0.6,United States,IOS,
2025-12-23 11:03:11+00:00,10443.0,Ad Rewarded,b1bfb7d5649b,rewarded_2,admob,Unknown/Missing,Unknown/Missing,None,,Dax,3.0,1.0,Dax - T: 3 - Q: 1,Salı,Sabah,1.0.6,United States,IOS,
2025-12-23 11:03:13+00:00,10443.0,Ad Rewarded,448709385dc0,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Dax,2.0,9.0,Dax - T: 2 - Q: 9,Salı,Sabah,1.0.7,United States,IOS,
2025-12-23 11:03:15+00:00,10443.0,Ad Rewarded,9e0d54327603,None,unity,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,2.0,1.0,Cyra - T: 2 - Q: 1,Salı,Sabah,1.0.5,United States,IOS,
2025-12-21 06:56:14+00:00,10462.0,Ad Rewarded,47382fb84ea1,None,ironSource,Unknown/Missing,Unknown/Missing,None,,Astra,1.0,12.0,Astra - T: 1 - Q: 12,Pazar,Sabah,1.0.7,Türkiye,IOS,
2025-12-22 08:38:32+00:00,10459.0,Ad Rewarded,c9630c6e0f08,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Astra,4.0,10.0,Astra - T: 4 - Q: 10,Pazartesi,Sabah,1.0.5,Türkiye,IOS,
2025-12-22 08:38:33+00:00,10459.0,Ad Rewarded,d0d3632dba92,None,None,Unknown/Missing,Unknown/Missing,instance_a,,Astra,2.0,5.0,Astra - T: 2 - Q: 5,Pazartesi,Sabah,1.0.7,Türkiye,IOS,
2025-12-23 07:55:06+00:00,10460.0,Ad Rewarded,51715ef33255,rewarded_2,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Astra,1.0,7.0,Astra - T: 1 - Q: 7,Salı,Sabah,1.0.7,Türkiye,IOS,
2025-12-17 07:21:58+00:00,10037.0,Ad Rewarded,8928fcf8efd7,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,3.0,12.0,Cyra - T: 3 - Q: 12,Çarşamba,Sabah,1.0.6,Türkiye,ANDROID,
2025-12-20 21:37:35+00:00,10034.0,Ad Rewarded,e1eb6616eefa,rewarded_2,None,Unknown/Missing,Unknown/Missing,instance_a,,Astra,4.0,3.0,Astra - T: 4 - Q: 3,Cumartesi,Akşam,1.0.6,Türkiye,ANDROID,
2025-12-22 19:01:19+00:00,10031.0,Ad Rewarded,3e76f7b69786,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_b,,Astra,1.0,5.0,Astra - T: 1 - Q: 5,Pazartesi,Akşam,1.0.7,Türkiye,ANDROID,
2025-12-22 19:01:38+00:00,10031.0,Ad Rewarded,fe8654312f53,None,None,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,2.0,3.0,Cyra - T: 2 - Q: 3,Pazartesi,Akşam,1.0.7,Türkiye,ANDROID,
2025-12-23 15:53:01+00:00,10033.0,Ad Rewarded,59fec4725f12,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,1.0,3.0,Cyra - T: 1 - Q: 3,Salı,Öğle,1.0.7,Türkiye,ANDROID,
2025-12-13 13:52:40+00:00,10539.0,Ad Rewarded,2bf2bb2b5724,None,admob,Unknown/Missing,Unknown/Missing,instance_b,,Astra,3.0,5.0,Astra - T: 3 - Q: 5,Cumartesi,Öğle,1.0.6,United States,ANDROID,
2025-12-12 19:03:46+00:00,10152.0,Ad Rewarded,5ad45c4fce6b,None,unity,Unknown/Missing,Unknown/Missing,None,,Astra,1.0,8.0,Astra - T: 1 - Q: 8,Cuma,Akşam,1.0.5,Türkiye,ANDROID,
2025-12-20 20:23:43+00:00,10151.0,Ad Rewarded,d3bb3d62ebd2,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Astra,2.0,11.0,Astra - T: 2 - Q: 11,Cumartesi,Akşam,1.0.7,Türkiye,ANDROID,
2025-12-20 20:27:21+00:00,10151.0,Ad Rewarded,d6a6698422b4,None,None,Unknown/Missing,Unknown/Missing,instance_a,,Astra,2.0,7.0,Astra - T: 2 - Q: 7,Cumartesi,Akşam,1.0.7,Türkiye,ANDROID,
2025-12-22 00:57:47+00:00,10153.0,Ad Rewarded,e99d992e7d38,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Astra,1.0,10.0,Astra - T: 1 - Q: 10,Pazartesi,Gece,1.0.7,Türkiye,ANDROID,
2025-12-11 20:40:15+00:00,10041.0,Ad Rewarded,77cedabcdcbf,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,2.0,7.0,Cyra - T: 2 - Q: 7,Perşembe,Akşam,1.0.5,Türkiye,IOS,
2025-12-20 17:23:37+00:00,10039.0,Ad Rewarded,4bb3cd65f4a5,None,unity,Unknown/Missing,Unknown/Missing,instance_a,,Astra,2.0,3.0,Astra - T: 2 - Q: 3,Cumartesi,Öğle,1.0.7,Türkiye,IOS,
2025-12-22 00:13:43+00:00,10358.0,Ad Rewarded,d7f8e7a9a29c,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_a,,Borin,4.0,8.0,Borin - T: 4 - Q: 8,Pazartesi,Gece,1.0.5,United States,ANDROID,
2025-12-22 16:09:07+00:00,10359.0,Ad Rewarded,c99cfb40b3b7,rewarded_2,admob,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,4.0,2.0,Cyra - T: 4 - Q: 2,Pazartesi,Öğle,1.0.6,United States,ANDROID,
2025-12-22 16:09:18+00:00,10359.0,Ad Rewarded,92fcb00f6e53,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Astra,1.0,4.0,Astra - T: 1 - Q: 4,Pazartesi,Öğle,1.0.5,United States,ANDROID,
2025-12-14 01:22:31+00:00,10470.0,Ad Rewarded,90630e8a0f71,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_b,,Borin,1.0,11.0,Borin - T: 1 - Q: 11,Pazar,Gece,1.0.5,United States,ANDROID,
2025-12-17 18:10:07+00:00,10281.0,Ad Rewarded,eb0adae26c27,rewarded_1,None,Unknown/Missing,Unknown/Missing,None,,Borin,4.0,8.0,Borin - T: 4 - Q: 8,Çarşamba,Akşam,1.0.6,United States,ANDROID,
2025-12-17 18:10:25+00:00,10281.0,Ad Rewarded,40de571fab3d,None,ironSource,Unknown/Missing,Unknown/Missing,instance_a,,Borin,1.0,9.0,Borin - T: 1 - Q: 9,Çarşamba,Akşam,1.0.7,United States,ANDROID,
2025-12-17 18:10:32+00:00,10281.0,Ad Rewarded,5ee0f4e16d9e,rewarded_2,unity,Unknown/Missing,Unknown/Missing,instance_b,,Astra,2.0,12.0,Astra - T: 2 - Q: 12,Çarşamba,Akşam,1.0.6,United States,ANDROID,
2025-12-18 05:15:20+00:00,10280.0,Ad Rewarded,b0416ea0985e,rewarded_1,unity,Unknown/Missing,Unknown/Missing,None,,Astra,4.0,6.0,Astra - T: 4 - Q: 6,Perşembe,Gece,1.0.5,United States,ANDROID,
2025-12-21 11:48:11+00:00,10170.0,Ad Rewarded,2d39cbf7d33b,rewarded_2,None,Unknown/Missing,Unknown/Missing,instance_b,,Astra,3.0,7.0,Astra - T: 3 - Q: 7,Pazar,Sabah,1.0.6,United States,IOS,
2025-12-14 12:53:31+00:00,10516.0,Ad Rewarded,b97a487f60aa,rewarded_2,admob,Unknown/Missing,Unknown/Missing,instance_b,,Dax,2.0,2.0,Dax - T: 2 - Q: 2,Pazar,Öğle,1.0.7,Türkiye,ANDROID,
2025-12-14 12:58:08+00:00,10516.0,Ad Rewarded,e24aaa543b68,None,admob,Unknown/Missing,Unknown/Missing,None,,Dax,1.0,10.0,Dax - T: 1 - Q: 10,Pazar,Öğle,1.0.7,Türkiye,ANDROID,
2025-12-19 06:43:23+00:00,10515.0,Ad Rewarded,f5f5bce8cb52,None,ironSource,Unknown/Missing,Unknown/Missing,None,,Borin,4.0,11.0,Borin - T: 4 - Q: 11,Cuma,Sabah,1.0.7,Türkiye,ANDROID,
2025-12-22 02:43:39+00:00,10424.0,Ad Rewarded,de2c649cb2f0,rewarded_1,admob,Unknown/Missing,Unknown/Missing,instance_b,,Astra,3.0,11.0,Astra - T: 3 - Q: 11,Pazartesi,Gece,1.0.6,United States,IOS,
2025-12-18 21:26:06+00:00,10591.0,Ad Load Failed,,,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,timeout,,,,,Perşembe,Akşam,1.0.6,Türkiye,ANDROID,1.8926265688165416
2025-12-21 02:41:55+00:00,10121.0,Ad Rewarded,0693a26dbf06,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,4.0,10.0,Cyra - T: 4 - Q: 10,Pazar,Gece,1.0.7,Türkiye,IOS,
2025-12-21 02:46:20+00:00,10121.0,Ad Rewarded,a451ad379c85,None,admob,Unknown/Missing,Unknown/Missing,None,,Cyra,1.0,1.0,Cyra - T: 1 - Q: 1,Pazar,Gece,1.0.7,Türkiye,IOS,
2025-12-21 04:38:13+00:00,10390.0,Ad Rewarded,c9a01ccbc905,rewarded_2,unity,Unknown/Missing,Unknown/Missing,instance_b,,Cyra,1.0,4.0,Cyra - T: 1 - Q: 4,Pazar,Gece,1.0.7,United States,ANDROID,
2025-12-23 03:20:30+00:00,10142.0,Ad Rewarded,63e958731f4f,None,None,Unknown/Missing,Unknown/Missing,None,,Borin,2.0,7.0,Borin - T: 2 - Q: 7,Salı,Gece,1.0.7,United States,IOS,
2025-12-12 00:55:21+00:00,10192.0,Ad Rewarded,d445ca0a2faf,rewarded_2,None,Unknown/Missing,Unknown/Missing,instance_b,,Dax,4.0,12.0,Dax - T: 4 - Q: 12,Cuma,Gece,1.0.5,Türkiye,IOS,
2025-12-22 14:17:14+00:00,10191.0,Ad Rewarded,9d99c69f4f76,rewarded_2,admob,Unknown/Missing,Unknown/Missing,instance_a,,Astra,2.0,5.0,Astra - T: 2 - Q: 5,Pazartesi,Öğle,1.0.7,Türkiye,IOS,
2025-12-22 14:17:35+00:00,10191.0,Ad Rewarded,6b185505cda1,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_a,,Astra,4.0,11.0,Astra - T: 4 - Q: 11,Pazartesi,Öğle,1.0.7,Türkiye,IOS,
2025-12-20 23:31:13+00:00,10559.0,Ad Rewarded,b0adf9772dde,rewarded_2,None,Unknown/Missing,Unknown/Missing,instance_a,,Cyra,4.0,3.0,Cyra - T: 4 - Q: 3,Cumartesi,Akşam,1.0.7,United States,ANDROID,
2025-12-13 19:07:20+00:00,10144.0,Ad Rewarded,5cad705c058c,rewarded_1,ironSource,Unknown/Missing,Unknown/Missing,None,,Cyra,2.0,7.0,Cyra - T: 2 - Q: 7,Cumartesi,Akşam,1.0.7,Türkiye,IOS,
2025-12-13 19:07:29+00:00,10144.0,Ad Rewarded,e7837b6eb338,None,unity,Unknown/Missing,Unknown/Missing,None,,Cyra,4.0,8.0,Cyra - T: 4 - Q: 8,Cumartesi,Akşam,1.0.7,Türkiye,IOS,
2025-12-13 19:07:32+00:00,10144.0,Ad Rewarded,01b119d6fee1,rewarded_1,unity,Unknown/Missing,Unknown/Missing,instance_a,,Borin,1.0,6.0,Borin - T: 1 - Q: 6,Cumartesi,Akşam,1.0.5,Türkiye,IOS,
2025-12-06 12:49:10+00:00,10160.0,Ad Rewarded,621c5a647a0b,rewarded_1,None,Unknown/Missing,Unknown/Missing,None,,Dax,3.0,3.0,Dax - T: 3 - Q: 3,Cumartesi,Öğle,1.0.5,United States,ANDROID,
2025-12-18 08:01:17+00:00,10379.0,Ad Rewarded,66961980a557,None,unity,Unknown/Missing,Unknown/Missing,None,,Borin,2.0,5.0,Borin - T: 2 - Q: 5,Perşembe,Sabah,1.0.7,Türkiye,ANDROID,
2025-12-20 03:10:06+00:00,10380.0,Ad Load Failed,,,Unknown/Missing,Unknown/Missing,Unknown/Missing,Unknown/Missing,timeout,,,,,Cumartesi,Gece,1.0.7,Türkiye,ANDROID,1.5696378085398948
2025-12-20 22:28:23+00:00,10383.0,Ad Rewarded,cd6f66b54bc3,rewarded_1,None,Unknown/Missing,Unknown/Missing,instance_a,,Borin,1.0,1.0,Borin - T: 1 - Q: 1,Cumartesi,Akşam,1.0.7,Türkiye,ANDROID,
2025-12-21 03:49:32+00:00,10382.0,Ad Rewarded,8ea17194bcc6,rewarded_2,None,Unknown/Missing,Unknown/Missing,instance_b,,Borin,3.0,8.0,Borin - T: 3 - Q: 8,Pazar,Gece,1.0.6,Türkiye,ANDROID,
2025-12-19 02:51:22+00:00,10113.0,Ad Rewarded,79074cf5c30b,rewarded_2,ironSource,Unknown/Missing,Unknown/Missing,instance_b,,Astra,1.0,1.0,Astra - T: 1 - Q: 1,Cuma,Gece,1.0.5,United States,ANDROID,
